unix,low,high,open,close,volume,date,vol_fiat
1622678400,0.787,0.85,0.798,0.831,4549984.36,2021-06-03,3781037.0031600003
1622592000,0.732,0.847,0.747,0.798,6430697.28,2021-06-02,5131696.42944
1622505600,0.723,0.776,0.766,0.746,2764646.27,2021-06-01,2062426.11742
1622419200,0.668,0.77,0.701,0.768,3177157.93,2021-05-31,2440057.29024
1622332800,0.635,0.741,0.682,0.705,4786505.33,2021-05-30,3374486.25765
1622246400,0.64,0.792,0.748,0.682,6867913.92,2021-05-29,4683917.29344
1622160000,0.701,0.855,0.844,0.747,7683640.5,2021-05-28,5739679.4535
1622073600,0.793,0.934,0.889,0.844,13449123.28,2021-05-27,11351060.04832
1621987200,0.734,0.89,0.738,0.89,10909361.03,2021-05-26,9709331.3167
1621900800,0.661,0.774,0.726,0.737,8075983.94,2021-05-25,5952000.16378
1621814400,0.548,0.745,0.559,0.727,10245064.99,2021-05-24,7448162.24773
1621728000,0.454,0.709,0.682,0.56,11789086.45,2021-05-23,6601888.4120000005
1621641600,0.654,0.767,0.758,0.681,5947776.63,2021-05-22,4050435.88503
1621555200,0.648,0.923,0.878,0.759,8795459.01,2021-05-21,6675753.38859
1621468800,0.661,0.92,0.749,0.877,11905455.78,2021-05-20,10441084.71906
1621382400,0.566,1.119,1.107,0.747,20026700.36,2021-05-19,14959945.16892
1621296000,1.048,1.145,1.06,1.107,5624028.43,2021-05-18,6225799.47201
1621209600,1.017,1.152,1.144,1.057,5951005.81,2021-05-17,6290213.141169999
1621123200,1.075,1.238,1.136,1.144,5260708.41,2021-05-16,6018250.421039999
1621036800,1.126,1.23,1.221,1.133,5131807.43,2021-05-15,5814337.81819
1620950400,1.175,1.255,1.193,1.218,8695538.17,2021-05-14,10591165.49106
1620864000,1.1,1.267,1.17,1.194,8521229.21,2021-05-13,10174347.67674
1620777600,1.151,1.419,1.398,1.169,6710776.96,2021-05-12,7844898.26624
1620691200,1.259,1.398,1.311,1.398,5192919.2,2021-05-11,7259701.0416
1620604800,1.25,1.498,1.415,1.312,7225564.48,2021-05-10,9479940.597760001
1620518400,1.335,1.468,1.423,1.412,4236921.16,2021-05-09,5982532.67792
1620432000,1.383,1.517,1.408,1.423,3831046.61,2021-05-08,5451579.32603
1620345600,1.35,1.598,1.406,1.41,12922536.99,2021-05-07,18220777.155899998
1620259200,1.33,1.45,1.365,1.405,9050454.12,2021-05-06,12715888.0386
1620172800,1.157,1.375,1.165,1.366,8172641.54,2021-05-05,11163828.343640001
1620086400,1.14,1.296,1.291,1.165,6447557.31,2021-05-04,7511404.26615
1620000000,1.253,1.323,1.255,1.291,3678353.02,2021-05-03,4748753.748819999
1619913600,1.223,1.298,1.272,1.256,2633130.64,2021-05-02,3307212.08384
1619827200,1.232,1.3,1.265,1.272,3198976.06,2021-05-01,4069097.54832
1619740800,1.165,1.281,1.188,1.265,3893854.28,2021-04-30,4925725.6641999995
1619654400,1.152,1.236,1.202,1.189,3340875.43,2021-04-29,3972300.8862700006
1619568000,1.15,1.283,1.231,1.202,5117517.46,2021-04-28,6151255.98692
1619481600,1.138,1.255,1.163,1.231,4849931.15,2021-04-27,5970265.245650001
1619395200,1.015,1.166,1.027,1.163,6237397.43,2021-04-26,7254093.211089999
1619308800,0.968,1.106,1.037,1.029,6987050.93,2021-04-25,7189675.406969999
1619222400,1.03,1.177,1.173,1.035,5801227.95,2021-04-24,6004270.92825
1619136000,0.88,1.184,1.07,1.176,17824208.46,2021-04-23,20961269.148959998
1619049600,1.047,1.251,1.207,1.071,8111509.33,2021-04-22,8687426.49243
1618963200,1.189,1.316,1.271,1.204,7951330.3,2021-04-21,9573401.6812
1618876800,1.233,1.544,1.544,1.267,4490921.48,2021-04-20,5689997.51516
