"Data","Último","Abertura","Máxima","Mínima","Var%"
"28.04.2021","5,3430","5,4526","5,4561","5,3429","-1,95%"
"27.04.2021","5,4490","5,4366","5,4673","5,4097","0,23%"
"26.04.2021","5,4364","5,4757","5,4904","5,4318","-0,71%"
"23.04.2021","5,4751","5,4446","5,5240","5,4239","0,56%"
"22.04.2021","5,4448","5,5669","5,5669","5,4373","-2,23%"
"21.04.2021","5,5690","5,5692","5,5695","5,5692","0,01%"
"20.04.2021","5,5687","5,5461","5,5883","5,5022","0,41%"
"19.04.2021","5,5461","5,5873","5,6224","5,5262","-0,76%"
"16.04.2021","5,5883","5,6142","5,6781","5,5658","-0,50%"
"15.04.2021","5,6162","5,6540","5,6603","5,5951","-0,64%"
"14.04.2021","5,6526","5,7180","5,7359","5,6452","-1,12%"
"13.04.2021","5,7166","5,7340","5,7562","5,6629","-0,29%"
"12.04.2021","5,7333","5,6822","5,7425","5,6300","0,90%"
"09.04.2021","5,6821","5,5682","5,6852","5,5665","1,98%"
"08.04.2021","5,5720","5,6136","5,6174","5,5381","-0,75%"
"07.04.2021","5,6143","5,5904","5,6550","5,5474","0,43%"
"06.04.2021","5,5904","5,6642","5,6698","5,5742","-1,29%"
"05.04.2021","5,6632","5,7100","5,7101","5,6323","-0,78%"
"02.04.2021","5,7075","5,7080","5,7080","5,7080","0,01%"
"01.04.2021","5,7071","5,6330","5,7276","5,6080","1,34%"
"31.03.2021","5,6315","5,7740","5,7768","5,6214","-2,48%"
"30.03.2021","5,7745","5,7824","5,8034","5,7200","-0,09%"
"29.03.2021","5,7799","5,7550","5,8069","5,7359","0,40%"
"26.03.2021","5,7566","5,6473","5,7589","5,6448","1,93%"
"25.03.2021","5,6475","5,6213","5,6821","5,6174","0,47%"
"24.03.2021","5,6209","5,5216","5,6432","5,4891","1,80%"
"23.03.2021","5,5214","5,5045","5,5509","5,4640","0,31%"
"22.03.2021","5,5045","5,5087","5,5483","5,4936","0,23%"
"19.03.2021","5,4917","5,5609","5,5640","5,4482","-1,24%"
"18.03.2021","5,5604","5,5860","5,5860","5,4763","-0,41%"
"17.03.2021","5,5832","5,6249","5,6827","5,5688","-0,74%"
"16.03.2021","5,6246","5,6252","5,6344","5,5574","0,16%"
"15.03.2021","5,6156","5,5501","5,6568","5,5310","1,15%"
"12.03.2021","5,5518","5,5362","5,5873","5,5324","0,29%"
"11.03.2021","5,5357","5,6078","5,6215","5,5257","-2,40%"
"10.03.2021","5,6720","5,7902","5,8144","5,6443","-2,25%"
"09.03.2021","5,8025","5,8753","5,8787","5,7675","-1,24%"
"08.03.2021","5,8755","5,6898","5,8769","5,6898","3,25%"
"05.03.2021","5,6908","5,6697","5,7232","5,6517","0,38%"
"04.03.2021","5,6693","5,5700","5,6852","5,5438","0,89%"
"03.03.2021","5,6193","5,6872","5,7729","5,5806","-1,00%"
"02.03.2021","5,6761","5,6421","5,7340","5,6386","0,61%"
"01.03.2021","5,6418","5,5870","5,6427","5,5553","0,77%"
"26.02.2021","5,5986","5,5340","5,6093","5,4905","1,23%"
"25.02.2021","5,5308","5,4450","5,5390","5,4173","2,30%"
"24.02.2021","5,4062","5,4409","5,4454","5,3895","-0,64%"
"23.02.2021","5,4409","5,4692","5,4843","5,4075","-0,46%"
"22.02.2021","5,4659","5,5128","5,5342","5,4296","1,55%"
"19.02.2021","5,3823","5,4267","5,4706","5,3670","-0,82%"
"18.02.2021","5,4270","5,3877","5,4535","5,3854","0,30%"
"17.02.2021","5,4105","5,3707","5,4331","5,3707","0,76%"
